,Country,Climate,HouseType,RennovationDegree,Number
127,BE,N,SFH,001,BE.N.SFH.01.Gen.ReEx.001.001
128,BE,N,SFH,002,BE.N.SFH.01.Gen.ReEx.001.002
129,BE,N,SFH,003,BE.N.SFH.01.Gen.ReEx.001.003
130,BE,N,SFH,001,BE.N.SFH.02.Gen.ReEx.001.001
131,BE,N,SFH,002,BE.N.SFH.02.Gen.ReEx.001.002
132,BE,N,SFH,003,BE.N.SFH.02.Gen.ReEx.001.003
133,BE,N,SFH,001,BE.N.SFH.03.Gen.ReEx.001.001
134,BE,N,SFH,002,BE.N.SFH.03.Gen.ReEx.001.002
135,BE,N,SFH,003,BE.N.SFH.03.Gen.ReEx.001.003
136,BE,N,SFH,001,BE.N.SFH.04.Gen.ReEx.001.001
137,BE,N,SFH,002,BE.N.SFH.04.Gen.ReEx.001.002
138,BE,N,SFH,003,BE.N.SFH.04.Gen.ReEx.001.003
139,BE,N,SFH,001,BE.N.SFH.05.Gen.ReEx.001.001
140,BE,N,SFH,003,BE.N.SFH.05.Gen.ReEx.001.003
141,BE,N,SFH,001,BE.N.SFH.06.Gen.ReEx.001.001
142,BE,N,SFH,002,BE.N.SFH.06.Gen.ReEx.001.002
143,BE,N,SFH,003,BE.N.SFH.06.Gen.ReEx.001.003
144,BE,N,TH,001,BE.N.TH.01.Gen.ReEx.001.001
145,BE,N,TH,002,BE.N.TH.01.Gen.ReEx.001.002
146,BE,N,TH,003,BE.N.TH.01.Gen.ReEx.001.003
147,BE,N,TH,001,BE.N.TH.02.Gen.ReEx.001.001
148,BE,N,TH,002,BE.N.TH.02.Gen.ReEx.001.002
149,BE,N,TH,003,BE.N.TH.02.Gen.ReEx.001.003
150,BE,N,TH,001,BE.N.TH.03.Gen.ReEx.001.001
151,BE,N,TH,002,BE.N.TH.03.Gen.ReEx.001.002
152,BE,N,TH,003,BE.N.TH.03.Gen.ReEx.001.003
153,BE,N,TH,001,BE.N.TH.04.Gen.ReEx.001.001
154,BE,N,TH,002,BE.N.TH.04.Gen.ReEx.001.002
155,BE,N,TH,003,BE.N.TH.04.Gen.ReEx.001.003
156,BE,N,TH,001,BE.N.TH.05.Gen.ReEx.001.001
157,BE,N,TH,003,BE.N.TH.05.Gen.ReEx.001.003
158,BE,N,TH,001,BE.N.TH.06.Gen.ReEx.001.001
159,BE,N,TH,002,BE.N.TH.06.Gen.ReEx.001.002
160,BE,N,TH,003,BE.N.TH.06.Gen.ReEx.001.003
161,BG,N,AB,001,BG.N.AB.03.Gen.ReEx.001.001
162,BG,N,AB,002,BG.N.AB.03.Gen.ReEx.001.002
163,BG,N,AB,003,BG.N.AB.03.Gen.ReEx.001.003
164,BG,N,AB,001,BG.N.AB.04.Gen.ReEx.001.001
165,BG,N,AB,002,BG.N.AB.04.Gen.ReEx.001.002
166,BG,N,AB,003,BG.N.AB.04.Gen.ReEx.001.003
167,BG,N,AB,001,BG.N.AB.05.Gen.ReEx.001.001
168,BG,N,AB,002,BG.N.AB.05.Gen.ReEx.001.002
169,BG,N,AB,003,BG.N.AB.05.Gen.ReEx.001.003
170,BG,N,AB,001,BG.N.AB.06.Gen.ReEx.001.001
171,BG,N,AB,002,BG.N.AB.06.Gen.ReEx.001.002
172,BG,N,AB,003,BG.N.AB.06.Gen.ReEx.001.003
173,BG,N,MFH,001,BG.N.MFH.01.Gen.ReEx.001.001
174,BG,N,MFH,002,BG.N.MFH.01.Gen.ReEx.001.002
175,BG,N,MFH,003,BG.N.MFH.01.Gen.ReEx.001.003
176,BG,N,MFH,001,BG.N.MFH.02.Gen.ReEx.001.001
